iter	Passed	Remaining
0	72	72700
1	73	36629
2	74	24592
3	74	18565
4	75	14951
5	75	12540
6	76	10813
7	76	9522
8	77	8523
9	77	7721
10	78	7063
11	79	6514
12	79	6049
13	80	5648
14	80	5304
15	81	5002
16	81	4733
17	82	4493
18	82	4279
19	83	4086
20	83	3914
21	84	3758
22	85	3613
23	85	3478
24	86	3354
25	86	3239
26	86	3133
27	87	3035
28	87	2943
29	88	2857
30	88	2777
31	89	2702
32	89	2633
33	90	2568
34	91	2511
35	91	2451
36	92	2396
37	92	2343
38	93	2293
39	93	2245
40	94	2200
41	94	2156
42	95	2114
43	95	2075
44	96	2038
45	96	2002
46	97	1967
47	97	1934
48	98	1902
49	98	1871
50	99	1842
51	99	1813
52	99	1786
53	100	1759
54	100	1734
55	101	1709
56	101	1685
57	102	1663
58	102	1640
59	103	1619
60	103	1598
61	104	1579
62	104	1559
63	105	1540
64	105	1522
65	106	1504
66	106	1488
67	107	1471
68	107	1455
69	108	1440
70	108	1425
71	109	1410
72	109	1395
73	110	1381
74	110	1367
75	111	1353
76	111	1340
77	112	1327
78	112	1314
79	113	1302
80	113	1290
81	114	1278
82	114	1265
83	115	1254
84	115	1243
85	116	1233
86	116	1222
87	117	1212
88	117	1202
89	117	1192
90	118	1183
91	118	1173
92	119	1164
93	119	1155
94	120	1147
95	120	1139
96	121	1130
97	121	1122
98	122	1114
99	122	1106
100	123	1098
101	123	1091
102	124	1083
103	124	1076
104	125	1069
105	125	1061
106	126	1054
107	126	1048
108	127	1042
109	128	1036
110	128	1029
111	129	1023
112	129	1017
113	130	1011
114	130	1005
115	131	999
116	131	994
117	132	989
118	132	984
119	133	978
120	133	973
121	134	967
122	134	962
123	135	957
124	135	951
125	136	946
126	136	941
127	137	936
128	137	931
129	138	926
130	138	921
131	139	917
132	139	912
133	140	907
134	140	903
135	141	898
136	141	894
137	142	890
138	142	885
139	143	881
140	143	877
141	144	871
142	144	867
143	145	863
144	145	859
145	146	857
146	147	853
147	147	849
148	148	845
149	148	841
150	149	838
151	149	834
152	150	830
153	150	827
154	151	823
155	151	820
156	152	817
157	152	813
158	153	810
159	153	807
160	154	802
161	154	799
162	155	796
163	155	792
164	156	789
165	156	786
166	157	783
167	157	780
168	158	777
169	158	774
170	159	771
171	159	768
172	160	765
173	160	762
174	161	759
175	161	756
176	162	753
177	162	751
178	163	748
179	163	745
180	164	742
181	164	740
182	165	737
183	165	734
184	166	732
185	166	729
186	167	726
187	167	724
188	168	721
189	168	719
190	169	716
191	169	714
192	170	711
193	170	709
194	171	706
195	171	704
196	172	701
197	172	699
198	173	697
199	173	694
200	174	692
201	174	689
202	175	687
203	175	685
204	176	682
205	176	680
206	177	678
207	177	676
208	178	674
209	178	671
210	179	669
211	179	667
212	180	665
213	180	663
214	181	661
215	181	659
216	182	657
217	182	655
218	183	653
219	183	651
220	184	649
221	184	647
222	185	645
223	185	643
224	186	641
225	186	639
226	187	637
227	187	635
228	188	633
229	188	632
230	189	630
231	189	628
232	190	626
233	190	624
234	191	622
235	191	620
236	192	618
237	192	616
238	193	615
239	193	613
240	194	611
241	194	610
242	195	608
243	195	606
244	196	604
245	196	603
246	197	601
247	197	599
248	198	597
249	198	596
250	199	594
251	199	592
252	200	590
253	200	589
254	201	587
255	201	586
256	202	584
257	202	583
258	203	581
259	203	579
260	204	578
261	204	576
262	205	575
263	205	573
264	206	572
265	206	571
266	207	570
267	208	568
268	208	567
269	209	565
270	209	564
271	210	562
272	210	561
273	211	559
274	211	558
275	212	556
276	213	556
277	213	555
278	214	553
279	215	553
280	215	551
281	216	550
282	216	549
283	217	547
284	217	546
285	218	544
286	218	543
287	219	542
288	219	540
289	220	539
290	220	538
291	221	536
292	221	535
293	222	534
294	223	532
295	223	531
296	224	530
297	224	528
298	225	527
299	225	526
300	226	525
301	226	523
302	227	522
303	227	521
304	228	520
305	228	519
306	229	517
307	229	516
308	230	515
309	230	514
310	231	512
311	232	511
312	232	510
313	233	509
314	233	508
315	234	506
316	234	505
317	235	504
318	235	503
319	236	502
320	236	500
321	237	499
322	237	498
323	238	497
324	238	496
325	239	495
326	240	493
327	240	492
328	241	491
329	241	490
330	242	489
331	242	488
332	243	487
333	244	487
334	245	486
335	245	485
336	246	484
337	246	482
338	247	481
339	247	480
340	248	479
341	248	478
342	249	477
343	249	476
344	250	475
345	251	474
346	251	473
347	252	472
348	252	471
349	253	470
350	253	469
351	254	468
352	254	466
353	255	465
354	255	464
355	256	463
356	256	462
357	257	461
358	258	460
359	258	459
360	259	458
361	259	457
362	260	456
363	260	455
364	261	454
365	261	453
366	262	452
367	262	451
368	263	450
369	264	449
370	264	448
371	265	447
372	265	446
373	266	445
374	266	444
375	267	443
376	267	442
377	268	441
378	269	440
379	269	439
380	270	438
381	270	437
382	271	437
383	271	436
384	272	435
385	272	434
386	273	432
387	273	431
388	274	430
389	274	430
390	275	429
391	276	428
392	276	427
393	277	426
394	277	425
395	278	424
396	278	423
397	279	422
398	279	421
399	280	420
400	280	419
401	281	418
402	281	417
403	282	416
404	282	415
405	283	414
406	284	413
407	284	413
408	285	412
409	285	411
410	286	410
411	286	409
412	287	408
413	288	407
414	288	406
415	289	406
416	289	405
417	290	404
418	290	403
419	291	402
420	292	401
421	292	400
422	293	399
423	293	399
424	294	398
425	294	397
426	295	396
427	295	395
428	296	394
429	296	393
430	297	392
431	298	392
432	299	391
433	299	390
434	300	390
435	300	389
436	301	388
437	301	387
438	302	386
439	302	385
440	303	384
441	303	383
442	304	382
443	304	381
444	305	380
445	305	380
446	306	379
447	306	378
448	307	377
449	307	376
450	308	375
451	308	374
452	309	373
453	309	372
454	310	371
455	310	370
456	311	370
457	311	369
458	312	368
459	312	367
460	313	366
461	313	365
462	314	364
463	315	363
464	315	363
465	316	362
466	316	361
467	317	360
468	317	359
469	318	358
470	318	357
471	319	356
472	319	356
473	320	355
474	320	354
475	321	353
476	321	352
477	322	351
478	322	351
479	323	350
480	323	349
481	324	348
482	324	347
483	325	346
